pmid,title,abstract,qid,nct_ids,pmcid
38277619,"Azacitidine, Venetoclax, and Gilteritinib in Newly Diagnosed and Relapsed or Refractory  FLT3 -Mutated AML.","Azacitidine plus venetoclax is a standard of care for patients with newly diagnosed AML who are unfit for intensive chemotherapy. However,  FLT3  mutations are a common mechanism of resistance to this…",6d09b924e073,NCT04140487,
28644114,Midostaurin plus Chemotherapy for Acute Myeloid Leukemia with a FLT3 Mutation.,Patients with acute myeloid leukemia (AML) and a FLT3 mutation have poor outcomes. We conducted a phase 3 trial to determine whether the addition of midostaurin - an oral multitargeted kinase inhibito…,6d09b924e073,NCT00651261,
38471061,Gilteritinib as Post-Transplant Maintenance for AML With Internal Tandem Duplication Mutation of  FLT3 .,Allogeneic hematopoietic cell transplantation (HCT) improves outcomes for patients with AML harboring an internal tandem duplication mutation of  FLT3  ( FLT3-ITD ) AML. These patients are routinely t…,6d09b924e073,NCT02997202,
39775763,Measurable residual disease and posttransplantation gilteritinib maintenance for patients with FLT3-ITD-mutated AML.,"BMT CTN (Blood and Marrow Transplant Clinical Trials Network) 1506 (""MORPHO"") was a randomized study of gilteritinib compared with placebo as maintenance therapy after hematopoietic cell transplantati…",6d09b924e073,NCT02997202,
32673171,Sorafenib Maintenance After Allogeneic Hematopoietic Stem Cell Transplantation for Acute Myeloid Leukemia With  FLT3 -Internal Tandem Duplication Mutation (SORMAIN).,"Despite undergoing allogeneic hematopoietic stem cell transplantation (HCT), patients with acute myeloid leukemia (AML) with internal tandem duplication mutation in the  FMS- like tyrosine kinase 3 ge…",6d09b924e073,,
34914826,Blinatumomab maintenance after allogeneic hematopoietic cell transplantation for B-lineage acute lymphoblastic leukemia.,Patients with B-lineage acute lymphoblastic leukemia (ALL) are at high-risk for relapse after allogeneic hematopoietic cell transplantation (HCT). We conducted a single-center phase 2 study evaluating…,6d09b924e073,NCT02807883,
31175001,"Quizartinib versus salvage chemotherapy in relapsed or refractory FLT3-ITD acute myeloid leukaemia (QuANTUM-R): a multicentre, randomised, controlled, open-label, phase 3 trial.","Patients with relapsed or refractory FLT3 internal tandem duplication (FLT3-ITD)-positive acute myeloid leukaemia have a poor prognosis, including high frequency of relapse, poorer response to salvage…",6d09b924e073,NCT02039726,
41052406,FLT3-ITD measurable residual disease from the QuANTUM-First trial.,"QuANTUM-First was a randomized trial that demonstrated that the addition of quizartinib, a potent and selective FMS-like tyrosine kinase 3 (FLT3) inhibitor, to induction and consolidation chemotherapy…",6d09b924e073,NCT02668653,
39180903,"Triplet therapy with gilteritinib, venetoclax, and azacitidine for relapsed/refractory FLT3 mut  acute myeloid leukemia.",The FMS-related tyrosine kinase 3 (FLT3) inhibitor gilteritinib is standard therapy for relapsed/refractory (R/R) FLT3-mutated (FLT3 mut ) acute myeloid leukemia (AML) but the overall survival (OS) is…,6d09b924e073,,
38197938,Prophylactic maintenance with venetoclax/azacitidine after reduced-intensity conditioning allogeneic transplant for high-risk MDS and AML.,We conducted a phase 1 trial assessing safety and efficacy of prophylactic maintenance therapy with venetoclax and azacitidine (Ven/Aza) for patients with high-risk myelodysplastic syndromes (MDS)/acu…,6d09b924e073,NCT03613532,
40106768,Low rates of chronic graft-versus-host disease with ruxolitinib maintenance following allogeneic HCT.,"Despite recent advances in graft-versus-host disease (GVHD) prophylaxis, novel approaches to effective prevention of chronic GVHD (cGVHD) remain of high importance. In this prospective, multicenter, p…",6d09b924e073,NCT03286530,
35130342,Molecular profile of FLT3-mutated relapsed/refractory patients with AML in the phase 3 ADMIRAL study of gilteritinib.,The phase 3 Study of ASP2215 Versus Salvage Chemotherapy in Patients With Relapsed or Refractory Acute Myeloid Leukemia (AML) With FMS-like Tyrosine Kinase (FLT3) Mutation (ADMIRAL) trial demonstrated…,6d09b924e073,NCT02421939,
35551662,Immune-Based Therapeutic Interventions for Acute Myeloid Leukemia.,"Acute myeloid leukemia (AML) is an aggressive, clonally heterogeneous, myeloid malignancy, with a 5-year overall survival of approximately 27%. It constitutes the most common acute leukemia in adults,…",6d09b924e073,,
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,QuANTUM-First (ClinicalTrials.gov identifier: NCT02668653) was a randomized phase III trial in patients with newly diagnosed FLT3-internal tandem duplication (ITD)-positive acute myeloid leukemia (AML…,6d09b924e073,NCT02668653,
36526260,Outcomes in Patients with FLT3-Mutated Relapsed/ Refractory Acute Myelogenous Leukemia Who Underwent Transplantation in the Phase 3 ADMIRAL Trial of Gilteritinib versus Salvage Chemotherapy.,The fms-like tyrosine kinase 3 (FLT3) inhibitor gilteritinib improved the survival of patients with relapsed or refractory (R/R) FLT3-mutated acute myelogenous leukemia (AML) in the phase 3 ADMIRAL tr…,6d09b924e073,,
38066845,"Chronic GVHD: review advances in prevention, novel endpoints, and targeted strategies.",Allogeneic hematopoietic cell transplantation (allo-HCT) is a curative therapy for many malignant and non-malignant hematologic disorders. Chronic graft-versus-host (cGVHD) disease remains a significa…,6d09b924e073,,
